male,date,motif,song_index,song_length,song_start,song_end,file,post_song_motif,notes,motif_count,round,trial,trial_round,counter,temp_target,temp_mean,humidity_mean,vpd,chamber,mass,bill_length,bill_depth,bill_width,bill_date
T229,2022-02-13,0,1,NA,NA,NA,NA,NA,Did not sing,0,1,1,1,KIM,44,45.84946,9.263441,95.8735320703128,6,NA,NA,NA,NA,NA
T229,2022-02-15,4,1,5,3152,3157,T229_February_15_2022_1,FALSE,,24,1,2,2,KIM,42,42.28226,9.849462,78.61128738163345,6,NA,NA,NA,NA,NA
T229,2022-02-15,2,2,2,3158,3160,T229_February_15_2022_2,TRUE,There is a 3rd motif after a .9 sec pause,24,1,2,2,KIM,42,42.28226,9.849462,78.61128738163345,6,NA,NA,NA,NA,NA
T229,2022-02-15,3,3,4,3174,3178,T229_February_15_2022_3,FALSE,,24,1,2,2,KIM,42,42.28226,9.849462,78.61128738163345,6,NA,NA,NA,NA,NA
T229,2022-02-15,3,4,4,3190,3194,T229_February_15_2022_4,FALSE,,24,1,2,2,KIM,42,42.28226,9.849462,78.61128738163345,6,NA,NA,NA,NA,NA
T229,2022-02-15,5,5,6,3198,3204,T229_February_15_2022_5,FALSE,,24,1,2,2,KIM,42,42.28226,9.849462,78.61128738163345,6,NA,NA,NA,NA,NA
T229,2022-02-15,3,6,3,3270,3273,T229_February_15_2022_6,FALSE,,24,1,2,2,KIM,42,42.28226,9.849462,78.61128738163345,6,NA,NA,NA,NA,NA
T229,2022-02-15,2,7,2,3274,3276,T229_February_15_2022_7,TRUE,There is a 3rd motif after a .8 sec pause,24,1,2,2,KIM,42,42.28226,9.849462,78.61128738163345,6,NA,NA,NA,NA,NA
T229,2022-02-17,6,1,8,445,453,T229_February_17_2022_1,TRUE,There is a 7th motifs after a .56 sec pause,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,2,2,2,455,457,T229_February_17_2022_2,FALSE,,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,2,3,2,458,460,T229_February_17_2022_3,FALSE,,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,5,4,5,549,554,T229_February_17_2022_4,TRUE,There are 3 additional motifs after a .82 sec pause,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,5,5,7,617,624,T229_February_17_2022_5,FALSE,,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,2,6,2,625,627,T229_February_17_2022_6,FALSE,partial 3rd motif,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,2,7,3,629,632,T229_February_17_2022_7,FALSE,,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,2,8,2,706,708,T229_February_17_2022_8,FALSE,,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,2,9,2,709,711,T229_February_17_2022_9,TRUE,There are 5 motifs after a .78 sec pause,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,2,10,2,818,820,T229_February_17_2022_10,FALSE,,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,2,11,2,821,823,T229_February_17_2022_11,TRUE,There are 2 additional motifs after a >1 sec pause,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,2,12,3,828,831,T229_February_17_2022_12,TRUE,There is a 3rd motif after a >1 sec pause,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,6,13,9,910,919,T229_February_17_2022_13,FALSE,,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,3,14,3,920,923,T229_February_17_2022_14,FALSE,,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,2,15,3,925,928,T229_February_17_2022_15,TRUE,There is a 3rd motif after a .82 sec pause,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,4,16,6,932,938,T229_February_17_2022_16,FALSE,,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,3,17,4,942,946,T229_February_17_2022_17,FALSE,,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,2,18,3,1088,1091,T229_February_17_2022_18,TRUE,There are 3 additional motifs after a .87 sec pause,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,2,19,2,1096,1098,T229_February_17_2022_19,FALSE,,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,4,20,6,1151,1157,T229_February_17_2022_20,TRUE,There is a 5th motif after a .57 sec pause,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,2,21,2,1160,1162,T229_February_17_2022_21,FALSE,,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,4,22,4,1280,1284,T229_February_17_2022_22,FALSE,,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-17,3,23,3,1287,1290,T229_February_17_2022_23,TRUE,There is a 4th motif after a .64 sec pause,114,1,3,3,KIM,40,40.65323,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
