male,date,motif_count,song_count,song_motif_count,song_motif_mean,song_motif_sd,song_motif_cv,song_length_sum,song_length_mean,song_length_sd,song_length_cv,song_start_mean,song_start_sd,song_start_cv,motifs_per_sec_mean,motifs_per_sec_sd,motifs_per_sec_cv,post_song_motif_occurances,post_song_motif_freq,file,start_song,end_song,misc_motif_count,post_song_motif,notes,song_start,song_end,song_length,date_file,round,trial,trial_round,counter,temp,temp_target,humidity_mean,vpd,chamber,mass,bill_length,bill_depth,bill_width,bill_date
T229,2022-02-13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,KIM,45.84946,44,9.263441,95.8735320703128,6,NA,NA,NA,NA,NA
T229,2022-02-15,24,7,22,3.142857142857143,1.0690449676496976,0.3401506715249038,26,3.7142857142857144,1.4960264830861913,0.4027763608308977,3202.285714285714,50.31141118313116,0.015711093784882144,0.8761904761904762,0.11935674151899316,0.13622236803798132,2,0.09090909090909091,NA,NA,NA,2,NA,,NA,NA,NA,NA,1,2,2,KIM,42.28226,42,9.849462,78.61128738163345,6,NA,NA,NA,NA,NA
T229,2022-02-17,114,28,85,3.0357142857142856,1.3188699668344825,0.43445128319253545,103,3.6785714285714284,2.000991817566542,0.5439589406977008,989.8571428571429,404.98904551126685,0.4091388827505943,0.8737244897959183,0.15253585895980495,0.17458118748100304,12,0.1411764705882353,NA,NA,NA,29,NA,,NA,NA,NA,NA,1,3,3,KIM,40.65323,40,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-19,159,51,159,3.1176470588235294,1.2271439821557928,0.3936122206914807,177,3.4705882352941178,1.4471066467468192,0.4169629321134903,2962.1176470588234,392.24363077346834,0.13242000403425533,0.9159197012138188,0.12679503895607533,0.13843466713079838,15,0.09433962264150944,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,4,4,KIM,26.2043,27,19,28.082546372402142,6,NA,NA,NA,NA,NA
T229,2022-02-21,318,83,227,2.7349397590361444,1.0829536997669686,0.395969854980874,254,3.0602409638554215,1.291146187623111,0.421909974695741,2733.3373493975905,608.3262779276257,0.2225580673610218,0.9163319946452476,0.13677895831197626,0.1492679062951735,40,0.1762114537444934,NA,NA,NA,91,NA,,NA,NA,NA,NA,1,5,5,KIM,34.90591,35,14.14247,49.62633057803805,6,NA,NA,NA,NA,NA
T229,2022-05-05,80,20,62,3.1,1.3726654823065194,0.4427953168730708,74,3.7,1.7800059136507325,0.4810826793650628,3121.75,596.2444637280214,0.19099686513270486,0.8986309523809524,0.2906757180187391,0.32346506343742576,7,0.11290322580645161,NA,NA,NA,18,NA,,NA,NA,NA,NA,2,6,1,KIM,39.19399,40,24.0847,55.86049337269687,6,NA,NA,NA,NA,NA
T229,2022-05-07,167,48,148,3.0833333333333335,1.6351632533934424,0.5303232173167921,170,3.5416666666666665,2.192427328020813,0.6190383043823473,2651.9166666666665,572.1091933171623,0.21573422743946039,0.9481271621896622,0.30549655308511375,0.32221052751993895,6,0.04054054054054054,NA,NA,NA,19,NA,,NA,NA,NA,NA,2,7,2,KIM,39.88934,40,22.70355,59.11059881828575,6,NA,NA,NA,NA,NA
T229,2022-05-09,310,85,262,3.0823529411764707,1.2929457387970267,0.4194671289990354,297,3.4941176470588236,1.54783665783174,0.44298355527171007,2714.5529411764705,555.4847626790743,0.20463213454158333,0.9029318394024276,0.14043492308905234,0.15553214202967308,27,0.10305343511450382,NA,NA,NA,48,NA,,NA,NA,NA,NA,2,8,3,KIM,38.80191,40,23.50956,55.07013638548809,6,NA,NA,NA,NA,NA
T229,2022-06-24,101,29,75,2.586206896551724,0.7327658649308672,0.28333613443993527,98,3.3793103448275863,1.0827805840074194,0.3204146626144404,8165.551724137931,524.4054174700345,0.06422167603443821,0.7879310344827586,0.15487428028223166,0.19655816753543626,8,0.10666666666666667,NA,NA,NA,26,NA,,NA,NA,NA,NA,3,9,1,KIM,39.8807947,40,24.37030905,57.80867090331119,5,19,8.8,7.5,6.8,07/11/22
T229,2022-06-26,34,7,28,4,1.7320508075688772,0.4330127018922193,36,5.142857142857143,2.5448360411214073,0.49482923021805136,2977.1428571428573,70.69282983780032,0.023745192363944442,0.8115646258503402,0.13490029191707945,0.16622248878298976,3,0.10714285714285714,NA,NA,NA,6,NA,,NA,NA,NA,NA,3,10,2,KIM,36.082781,35,30.74337748,42.80145769610145,5,NA,NA,NA,NA,
