male,date,motif_count.x,motif_count.y,song_count,song_motif_count,song_motif_mean,song_motif_sd,song_motif_cv,song_length_sum,song_length_mean,song_length_sd,song_length_cv,song_start_min,song_start_max,song_start_range,song_start_mean,song_start_sd,song_start_cv,motifs_per_sec_mean,motifs_per_sec_sd,motifs_per_sec_cv,post_song_motif_occurances,post_song_motif_freq,file,start_song,end_song,misc_motif_count,post_song_motif,notes,song_start,song_end,song_length,date_file,round,trial,trial_round,counter,temp,temp_target,humidity_mean,vpd,chamber,mass,bill_length,bill_depth,bill_width,bill_date
T229,2022-02-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,KIM,45.84946,44,9.263441,95.8735320703128,6,NA,NA,NA,NA,NA
T229,2022-02-15,24,24,7,22,3.142857142857143,1.0690449676496976,0.3401506715249038,33,4.714285714285714,1.4960264830861913,0.31733895095767695,3152,3274,122,3202.285714285714,50.31141118313116,0.015711093784882144,0.6663265306122449,0.054924337625697775,0.08242856182723403,2,0.09090909090909091,NA,NA,NA,2,NA,,NA,NA,NA,NA,1,2,2,KIM,42.28226,42,9.849462,78.61128738163345,6,NA,NA,NA,NA,NA
T229,2022-02-17,114,114,28,85,3.0357142857142856,1.3188699668344825,0.43445128319253545,131,4.678571428571429,2.000991817566542,0.4276929075714746,445,1812,1367,989.8571428571429,404.98904551126685,0.4091388827505943,0.6517431972789115,0.08896236696539508,0.13649911090260894,12,0.1411764705882353,NA,NA,NA,29,NA,,NA,NA,NA,NA,1,3,3,KIM,40.65323,40,18.33065,65.14167078411919,6,NA,NA,NA,NA,NA
T229,2022-02-19,198,159,51,159,3.1176470588235294,1.2271439821557928,0.3936122206914807,228,4.470588235294118,1.4471066467468192,0.3236949078249464,1871,3371,1500,2962.1176470588234,392.24363077346834,0.13242000403425533,0.6880252100840336,0.09456500594550357,0.1374441002444571,15,0.09433962264150944,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,4,4,KIM,26.2043,27,19,28.082546372402142,6,NA,NA,NA,NA,NA
T229,2022-02-21,315,318,83,227,2.7349397590361444,1.0829536997669686,0.395969854980874,337,4.0602409638554215,1.291146187623111,0.31799742899916383,1871,3616,1745,2733.3373493975905,608.3262779276257,0.2225580673610218,0.668100975329891,0.0906601069145825,0.135698210693102,40,0.1762114537444934,NA,NA,NA,91,NA,,NA,NA,NA,NA,1,5,5,KIM,34.90591,35,14.14247,49.62633057803805,6,NA,NA,NA,NA,NA
T229,2022-05-05,95,80,20,62,3.1,1.3726654823065194,0.4427953168730708,94,4.7,1.7800059136507325,0.37872466247887926,1870,3548,1678,3121.75,596.2444637280214,0.19099686513270486,0.6608531746031746,0.1187424573210926,0.17968054309853987,7,0.11290322580645161,NA,NA,NA,18,NA,,NA,NA,NA,NA,2,6,1,KIM,39.19399,40,24.0847,55.86049337269687,6,NA,NA,NA,NA,NA
T229,2022-05-07,158,167,48,148,3.0833333333333335,1.6351632533934424,0.5303232173167921,218,4.541666666666667,2.192427328020813,0.4827362924082524,1826,3524,1698,2651.9166666666665,572.1091933171623,0.21573422743946039,0.6822999338624338,0.12215136027599639,0.17902883206291606,6,0.04054054054054054,NA,NA,NA,19,NA,,NA,NA,NA,NA,2,7,2,KIM,39.88934,40,22.70355,59.11059881828575,6,NA,NA,NA,NA,NA
T229,2022-05-09,321,310,85,262,3.0823529411764707,1.2929457387970267,0.4194671289990354,382,4.4941176470588236,1.54783665783174,0.34441391600968035,1854,3541,1687,2714.5529411764705,555.4847626790743,0.20463213454158333,0.6771148459383753,0.10083761614404808,0.14892247120103078,27,0.10305343511450382,NA,NA,NA,48,NA,,NA,NA,NA,NA,2,8,3,KIM,38.80191,40,23.50956,55.07013638548809,6,NA,NA,NA,NA,NA
T229,2022-06-24,105,101,29,75,2.586206896551724,0.7327658649308672,0.28333613443993527,127,4.379310344827586,1.0827805840074194,0.24724910973397765,159,1803,1644,1085.551724137931,524.4054174700345,0.4830773198637592,0.593431855500821,0.09663862896482567,0.1628470532362447,8,0.10666666666666667,NA,NA,NA,26,NA,,NA,NA,NA,NA,3,9,1,KIM,39.8807947,40,24.37030905,57.80867090331119,5,19,8.8,7.5,6.8,07/11/22
T229,2022-06-26,133,34,7,28,4,1.7320508075688772,0.4330127018922193,43,6.142857142857143,2.5448360411214073,0.4142756346011593,2892,3056,164,2977.1428571428573,70.69282983780032,0.023745192363944442,0.6488095238095238,0.07552724726458047,0.11640896826100476,3,0.10714285714285714,NA,NA,NA,6,NA,,NA,NA,NA,NA,3,10,2,KIM,36.082781,35,30.74337748,42.80145769610145,5,NA,NA,NA,NA,
T229,2022-06-28,66,62,17,47,2.764705882352941,0.9701425001453319,0.3509026064355456,76,4.470588235294118,1.2307338795828044,0.2752957362224694,143,1696,1553,742.5882352941177,553.5180731944904,0.7453903076922003,0.6135854341736694,0.08423729400932901,0.13728698453015503,7,0.14893617021276595,NA,NA,NA,15,NA,,NA,NA,NA,NA,3,11,3,KIM,43.239514,44,21.88300221,71.75084129472704,5,NA,NA,NA,NA,
T229,2022-06-30,101,105,29,79,2.7241379310344827,1.1617890060511336,0.4264795085504161,133,4.586206896551724,1.7630582475450018,0.38442623442710566,58,1818,1760,1222.7931034482758,669.9726209390066,0.5479034998232196,0.5986453201970443,0.08614412026823211,0.14389842760297156,12,0.1518987341772152,NA,NA,NA,26,NA,,NA,NA,NA,NA,3,12,4,KIM,41.7671082,42,23.3200883,65.01266936545589,5,NA,NA,NA,NA,
T229,2022-07-02,203,200,52,168,3.230769230769231,1.0406518435225336,0.3221065229950699,256,4.923076923076923,1.4258970873701717,0.28963534587206613,129,1483,1354,836.7692307692307,366.57388926325996,0.4380824196012484,0.655448717948718,0.09244153506801758,0.14103549604509283,19,0.1130952380952381,NA,NA,NA,32,NA,,NA,NA,NA,NA,3,13,5,KIM,30.6452328,27,38.36640798,27.83865067771336,5,NA,NA,NA,NA,
T230,2022-02-23,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,KIM,44.23656,42,18.96505,78.5438107770662,6,NA,NA,NA,NA,NA
T230,2022-02-25,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,2,2,KIM,34.48656,35,24.73118,42.47555556425926,6,NA,NA,NA,NA,NA
T230,2022-02-27,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,3,3,KIM,46.6129,44,12.38172,96.40917379442759,6,NA,NA,NA,NA,NA
T230,2022-03-01,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,4,4,KIM,41.0914,40,13.24194,70.88640955768284,6,NA,NA,NA,NA,NA
T230,2022-03-03,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,5,5,KIM,27.46505,27,25,28.052473571028234,6,NA,NA,NA,NA,NA
T230,2022-05-24,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,6,1,KIM,38.49727,40,23.69809,54.00981215326537,4,NA,NA,NA,NA,NA
T230,2022-05-26,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,7,2,KIM,38.6694,40,24.19809,54.17319002511011,4,NA,NA,NA,NA,NA
T230,2022-05-28,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,8,3,KIM,38.60109,40,24.22268,53.94986633627256,4,NA,NA,NA,NA,NA
T230,2022-06-06,9,9,3,9,3,2.6457513110645907,0.8819171036881969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,9,1,KIM,39.2935982,40,24.34492274,55.9776561741266,6,18.5,8.2,7.4,6.5,06/23/22
T230,2022-06-08,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,10,2,KIM,33.4254967,35,35.40286976,34.298133845283395,6,NA,NA,NA,NA,
T230,2022-06-10,14,14,3,14,4.666666666666667,2.0816659994661326,0.4460712855998855,12,4,1.7320508075688772,0.4330127018922193,1777,1790,13,1783.6666666666667,6.506407098647712,0.003647770752372105,1.1666666666666667,0.16666666666666663,0.14285714285714282,0,0,NA,NA,NA,0,NA,,NA,NA,NA,NA,3,11,3,KIM,41.3907285,42,22.30905077,64.52794951552592,6,NA,NA,NA,NA,
T230,2022-06-12,6,6,2,6,3,0,0,7,3.5,0.7071067811865476,0.20203050891044216,164,167,3,165.5,2.1213203435596424,0.0128176455804208,0.875,0.1767766952966369,0.20203050891044216,0,0,NA,NA,NA,0,NA,,NA,NA,NA,NA,3,12,4,KIM,30.9966887,27,35.25662252,29.8520633658075,6,NA,NA,NA,NA,
T230,2022-06-14,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,13,5,KIM,42.6244469,44,28.18086283,63.802644579280084,6,NA,NA,NA,NA,
T231,2022-02-13,57,57,15,55,3.6666666666666665,1.9880595947760098,0.5421980713025482,60,4,1.7728105208558367,0.44320263021395917,1828,3047,1219,2596.9333333333334,366.3205985914264,0.1410589151016942,0.8966666666666666,0.17207879332187076,0.1919094349314544,2,0.03636363636363636,NA,NA,NA,2,NA,,NA,NA,NA,NA,1,1,1,RAS,42.79839,42,10.77151,80.02092905813176,2,NA,NA,NA,NA,NA
T231,2022-02-15,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,2,2,RAS,45.04301,44,8.75,92.35456690051808,2,NA,NA,NA,NA,NA
T231,2022-02-17,86,87,19,82,4.315789473684211,2.135744251723958,0.4948675705214049,100,5.2631578947368425,1.8511889651776021,0.3517259033837444,65,1462,1397,794.8421052631579,459.12153597421417,0.5776260881677969,0.7937969924812031,0.1586192960801611,0.1998235034682588,4,0.04878048780487805,NA,NA,NA,5,NA,,NA,NA,NA,NA,1,3,3,KIM,41.12903,40,16.53763,68.33453352735373,2,NA,NA,NA,NA,NA
T231,2022-02-19,24,24,9,24,2.6666666666666665,1,0.375,30,3.3333333333333335,1.3228756555322954,0.3968626966596886,3330,3521,191,3476.222222222222,58.15663714869047,0.016729838724612103,0.8240740740740741,0.1409568272929475,0.1710487342431273,0,0,NA,NA,NA,0,NA,,NA,NA,NA,NA,1,4,4,RAS,27.24462,27,17.29032,30.52978394285837,2,NA,NA,NA,NA,NA
T231,2022-02-21,215,211,62,205,3.306451612903226,1.5213099368142622,0.46010349308528903,229,3.693548387096774,1.2878843965712847,0.34868485846034786,2108,3280,1172,2658.032258064516,359.70238006030354,0.13532656684995462,0.881605222734255,0.16105021378657064,0.18267837988423136,6,0.02926829268292683,NA,NA,NA,6,NA,,NA,NA,NA,NA,1,5,5,RAS,36.51075,35,12.65054,55.30592144111422,2,NA,NA,NA,NA,NA
T231,2022-05-05,14,17,3,15,5,2,0.4,17,5.666666666666667,1.1547005383792515,0.2037706832433973,2287,3258,971,2910.6666666666665,541.2765774844994,0.1859630935013168,0.8666666666666667,0.23094010767585033,0.26646935501059654,1,0.06666666666666667,NA,NA,NA,2,NA,,NA,NA,NA,NA,2,6,1,KIM,39.03005,40,23.80055,55.56124671940209,2,NA,NA,NA,NA,NA
T231,2022-05-07,262,249,83,242,2.9156626506024095,0.9397044070410657,0.3222953131587126,279,3.36144578313253,0.9700177676649329,0.28857159396483667,1977,3576,1599,2801.5421686746986,470.8496290750557,0.1680680142315318,0.8773952954675847,0.17840696006905304,0.2033370374683577,4,0.01652892561983471,NA,NA,NA,7,NA,,NA,NA,NA,NA,2,7,2,KIM,40.52869,40,21.61066,62.09839005896374,2,NA,NA,NA,NA,NA
