Male,Date,Clipped File Name,Timestamp Start,Timestamp End,Number of Motifs,Any motifs after .5 gap,Other notes
T260,7/19/2022,T260_July_19_2022_3,1h 59m 59s,2h 0m 2s,3,No,
T237,7/1/2022,T237_July_01_2022_3,1h 59m 17s,1h 59m 20s,3,No,
T244,7/1/2022,T244_July_01_2022_15,2h 16m 45s,2h 16m 50s,5,No,
T235,2/17/2022,T235_February_17_2022_35,16m 50s,16m 53s,3,No,
T247,6/10/2022,T247_June_10_2022_15,2h 15m 51s,2h 15m 53s,2,No,
T247,6/6/2022,T247_June_06_2022_41,2h 17m 13s,2h 17m 15s,2,No,
T229,5/5/2022,T229_May_05_2022_3,32m 46s,32m 50s,4,Yes,There is a 5th motif after a >1 sec pause
T235,7/2/2022,T235_July_02_2022_55,2h 12m 2s,2h 12m 7s,5,No,
T243,4/16/2022,T243_April_16_2022_25,43m 20s,43m 22s,2,No,
T243,4/13/2022,T243_April_13_2022_35,51m 28s,51m 36s,9,No,
T229,5/9/2022,T229_May_09_2022_66,54m 31s,54m 34s,4,No,
T257,7/13/2022,T257_July_13_2022_22,2h 14m 53s,2h 14m 55s,2,No,
T231,2/13/2022,T231_February_13_2022_4,41m 54s,41m 56s,2,No,
T257,7/19/2022,T257_July_19_2022_19,2h 4m 48s,2h 4m 50s,2,No,
T243,4/13/2022,T243_April_13_2022_1,32m 34s,32m 40s,6,No,
T229,5/9/2022,T229_May_09_2022_8,32m 38s,32m 43s,5,No,
T246,2/9/2022,T246_February_09_2022_12,35m 45s,35m 50s,5,No,
T244,6/23/2022,T244_June_23_2022_17,2h 24m 58s,2h 25m 2s,4,No,
T243,7/14/2022,T243_July_14_2022_16,2h 22m 41s,2h 22m 55s,15,No,
T237,7/1/2022,T237_July_01_2022_30,2h 24m 50s,2h 24m 54s,4,No,
T236,6/14/2022,T236_June_14_2022_20,2h 16m 43s,2h 16m 56s,15,No,
T237,2/27/2022,T237_February_27_2022_3,30m 19s,30m 22s,3,No,
T229,5/7/2022,T229_May_07_2022_25,45m 23s,45m 36s,10,Yes,There is an additional motif after a >1 sec pause
T243,1/30/2022,T243_January_30_2022_20,50m 47s,50m 59s,13,No,
T243,4/16/2022,T243_April_16_2022_2,30m 37s,30m 39s,2,No,
T243,4/16/2022,T243_April_16_2022_38,57m 59s,58m 11s,13,No,
T247,2/1/2022,T247_February_01_2022_21,40m 36s,40m 38s,2,Yes,
T236,6/6/2022,T236_June_06_2022_19,2h 7m 23s,2h 7m 35s,11,No,
T236,6/6/2022,T236_June_06_2022_23,2h 13m 8s,2h 13m 20s,9,No,
T236,6/12/2022,T236_June_12_2022_10,2h 6m 24s,2h 6m 36s,14,No,
